TotalNumberOfVotes,Score,Time,WordsInSummary,WordsInText,HelpfulnessScore
6,5,2003,3,32,83.3333333333
5,5,2003,3,103,100
12,5,2003,2,101,100
27,5,2003,7,209,100
0,5,2003,3,34,0
5,4,2003,2,64,100
25,5,2003,7,120,92
0,5,2003,5,80,0
14,5,2003,4,73,100
20,5,2003,5,39,75
15,5,2003,6,152,93.3333333333
0,4,2003,1,31,0
9,5,2003,6,151,100
23,5,2003,1,168,100
4,5,2003,5,53,100
35,5,2003,3,83,100
2,5,2003,5,31,50
2,4,2004,3,54,100
5,5,2004,10,39,100
5,5,2004,3,40,100
2,5,2004,6,73,0
4,5,2004,3,115,100
6,5,2004,9,47,100
6,5,2004,1,20,16.6666666667
1,5,2004,3,26,100
5,4,2004,3,215,100
0,5,2004,8,95,0
8,5,2004,4,127,100
2,5,2004,6,73,50
4,5,2004,4,81,100
11,5,2004,2,42,63.6363636364
7,5,2004,4,34,100
12,1,2004,4,37,0
57,5,2004,9,175,96.4912280702
6,5,2004,4,157,83.3333333333
2,5,2004,5,54,100
1,5,2004,1,29,100
4,5,2004,2,71,100
1,5,2004,4,63,100
5,5,2004,5,25,100
14,5,2004,8,62,92.8571428571
18,3,2004,3,63,83.3333333333
0,5,2004,2,51,0
4,4,2004,2,134,100
2,5,2004,3,48,100
2,5,2004,6,362,100
3,5,2004,4,37,100
3,5,2004,2,13,100
3,5,2004,4,66,100
4,5,2004,3,44,100
18,5,2004,4,55,77.7777777778
0,5,2004,6,49,0
8,5,2004,2,132,87.5
6,5,2004,1,45,100
5,5,2004,13,127,100
4,5,2004,1,49,100
3,5,2004,11,743,33.3333333333
14,3,2004,3,61,85.7142857143
14,5,2004,3,77,85.7142857143
2,5,2004,2,23,100
2,5,2004,1,15,0
72,4,2004,11,537,98.6111111111
3,4,2004,3,128,100
3,4,2004,3,111,100
2,2,2004,3,185,100
2,5,2004,3,129,100
3,5,2004,8,56,33.3333333333
9,5,2004,5,35,88.8888888889
10,5,2004,2,168,100
4,5,2004,6,51,100
33,1,2004,3,62,69.696969697
6,4,2004,1,44,83.3333333333
9,3,2004,3,86,77.7777777778
12,5,2004,1,43,100
1,5,2004,2,57,100
0,4,2004,8,90,0
0,5,2004,9,541,0
1,5,2004,3,100,100
0,4,2004,3,90,0
0,5,2004,2,78,0
1,5,2004,6,66,100
6,5,2004,5,82,100
0,3,2004,3,76,0
6,5,2004,5,55,83.3333333333
10,1,2004,8,50,100
1,5,2004,1,30,100
0,1,2004,4,88,0
2,3,2004,6,112,100
2,5,2004,2,97,100
17,4,2004,4,170,100
17,5,2004,7,580,88.2352941176
6,5,2004,2,9,83.3333333333
2,4,2004,7,119,50
2,5,2004,5,522,100
21,5,2004,2,98,95.2380952381
5,5,2004,9,45,100
1,5,2004,2,39,100
8,1,2004,5,37,50
10,5,2004,1,31,0
21,5,2004,2,130,9.52380952381
14,5,2004,6,68,92.8571428571
0,4,2004,3,200,0
12,5,2004,5,66,50
0,5,2004,4,52,0
33,5,2004,5,183,100
4,5,2004,4,69,75
2,5,2004,8,157,50
77,5,2004,4,111,97.4025974026
0,5,2004,6,237,0
2,5,2004,9,99,50
15,3,2004,7,87,40
0,5,2004,2,21,0
5,1,2004,2,13,0
3,5,2004,2,105,100
13,5,2004,10,995,76.9230769231
7,3,2004,4,49,100
6,5,2004,6,90,83.3333333333
4,5,2004,9,80,100
1,5,2004,4,116,100
6,5,2004,3,46,100
9,5,2004,2,17,88.8888888889
6,5,2004,5,141,66.6666666667
34,2,2004,7,71,91.1764705882
7,4,2004,4,91,57.1428571429
27,5,2004,2,140,100
2,3,2004,3,84,100
4,5,2004,2,160,100
0,5,2004,3,69,0
5,5,2004,4,22,60
2,5,2004,1,59,100
4,5,2004,1,85,100
1,5,2004,5,66,100
24,4,2004,2,362,95.8333333333
9,4,2004,5,128,100
4,5,2004,3,61,100
1,2,2004,2,75,100
1,5,2004,5,74,100
0,4,2004,2,70,0
0,4,2004,3,83,0
0,3,2004,6,100,0
3,1,2004,9,51,33.3333333333
78,5,2004,5,123,91.0256410256
0,5,2004,2,52,0
18,5,2004,4,54,100
5,5,2004,3,37,100
2,5,2004,3,49,100
2,4,2004,10,144,100
8,5,2004,2,58,25
1,5,2004,5,16,100
3,5,2004,1,77,66.6666666667
52,5,2004,4,128,98.0769230769
11,3,2004,4,88,63.6363636364
1,5,2004,3,234,0
6,4,2004,2,100,83.3333333333
6,5,2004,4,302,100
0,5,2004,5,95,0
31,5,2004,8,75,83.8709677419
5,5,2004,4,31,100
25,5,2004,1,48,92
3,5,2004,6,177,100
20,5,2004,5,197,100
8,5,2004,2,17,25
8,5,2004,2,64,75
0,5,2004,1,103,0
8,5,2004,5,14,75
8,5,2004,3,85,100
15,5,2004,9,22,100
8,4,2004,7,15,50
3,5,2004,2,76,100
9,4,2004,15,144,33.3333333333
2,5,2004,6,111,100
32,5,2004,4,345,87.5
3,4,2004,4,33,0
1,4,2004,2,78,100
4,5,2004,2,31,100
7,5,2004,3,136,57.1428571429
1,5,2004,4,81,100
6,5,2004,3,50,66.6666666667
0,5,2004,11,33,0
8,5,2004,5,53,100
11,5,2004,5,130,81.8181818182
27,5,2004,4,60,85.1851851852
1,5,2004,3,104,0
34,4,2004,9,46,94.1176470588
7,5,2004,4,78,85.7142857143
4,5,2004,1,198,100
78,4,2004,3,172,93.5897435897
2,5,2004,2,100,100
0,5,2004,5,40,0
2,5,2004,4,63,100
0,4,2004,6,82,0
26,5,2004,3,141,23.0769230769
4,5,2004,3,139,100
10,5,2004,6,214,80
10,5,2004,8,95,90
3,5,2004,4,74,100
4,5,2004,5,124,100
3,5,2004,1,76,100
0,5,2004,9,392,0
9,5,2004,2,81,100
5,4,2004,1,20,100
2,5,2004,3,37,100
2,5,2004,3,194,100
2,5,2004,4,54,100
5,5,2004,5,24,100
1,2,2004,3,22,0
8,5,2004,9,635,87.5
3,4,2004,4,23,33.3333333333
11,4,2004,8,256,100
3,5,2004,7,391,100
9,5,2004,4,37,88.8888888889
9,5,2004,3,24,100
3,5,2004,2,76,100
2,4,2004,5,128,100
7,3,2004,2,50,100
3,5,2004,9,48,100
4,5,2004,3,72,100
102,5,2004,11,413,98.0392156863
3,5,2004,4,23,100
9,5,2004,2,41,100
6,5,2004,8,53,100
2,5,2004,8,467,100
9,5,2004,1,23,88.8888888889
11,5,2004,3,64,100
4,5,2004,9,489,75
8,5,2004,3,192,87.5
6,4,2004,3,100,100
3,5,2004,4,27,66.6666666667
7,5,2004,4,139,71.4285714286
9,5,2004,4,65,100
2,5,2004,3,15,100
3,5,2004,10,198,100
5,5,2004,12,7,60
3,4,2004,7,81,100
1,5,2004,2,28,100
7,4,2004,2,46,100
11,5,2004,2,328,90.9090909091
0,4,2004,4,81,0
30,1,2004,2,41,36.6666666667
16,5,2004,2,78,87.5
0,4,2004,4,223,0
13,4,2004,2,205,92.3076923077
13,5,2004,5,117,76.9230769231
3,5,2004,2,33,100
2,4,2004,6,154,100
6,5,2004,3,51,100
3,4,2004,4,161,66.6666666667
9,5,2004,3,53,100
1,4,2004,3,64,100
16,5,2004,3,86,100
4,5,2004,6,23,75
2,5,2004,2,62,50
2,5,2004,6,67,50
0,4,2004,5,104,0
9,5,2004,3,42,100
5,5,2004,3,74,100
4,5,2004,9,77,75
2,5,2004,8,48,100
11,5,2004,9,178,90.9090909091
5,5,2004,9,95,100
12,5,2004,2,60,91.6666666667
10,5,2004,5,42,90
1,5,2004,6,53,100
3,5,2004,2,71,100
3,5,2004,4,571,100
5,5,2004,3,57,100
7,5,2004,10,94,57.1428571429
0,5,2004,4,13,0
7,5,2004,11,380,57.1428571429
3,5,2004,3,46,66.6666666667
0,5,2004,3,38,0
12,1,2004,4,51,75
30,1,2004,4,99,3.33333333333
1,5,2004,3,83,100
21,5,2004,2,63,90.4761904762
0,5,2004,3,141,0
0,5,2004,6,48,0
4,1,2004,8,167,50
9,1,2004,8,176,88.8888888889
2,4,2004,4,177,100
0,5,2004,4,18,0
2,4,2004,1,70,100
31,4,2004,3,160,93.5483870968
9,5,2004,7,283,100
8,5,2004,1,18,100
1,4,2004,3,92,0
2,5,2004,3,94,100
2,4,2004,4,50,100
0,5,2004,4,66,0
26,1,2004,4,340,53.8461538462
4,5,2004,5,189,75
2,5,2004,2,66,100
9,5,2004,2,72,100
2,5,2004,8,86,100
16,5,2004,3,95,56.25
3,5,2004,8,84,100
0,4,2004,2,173,0
2,5,2004,2,79,100
0,5,2004,4,27,0
2,4,2004,11,197,100
4,5,2004,5,44,100
1,4,2004,4,176,0
1,5,2004,2,78,0
36,5,2004,7,217,86.1111111111
3,5,2004,5,48,100
11,5,2004,6,45,100
0,5,2004,7,17,0
0,5,2004,2,41,0
2,5,2004,1,85,100
1,5,2004,2,19,100
12,5,2004,9,167,100
2,5,2004,7,44,50
6,1,2004,4,90,83.3333333333
36,5,2004,5,295,80.5555555556
18,5,2004,1,50,100
8,5,2004,2,88,87.5
7,4,2004,7,27,42.8571428571
4,5,2004,7,54,100
1,5,2004,7,138,100
0,3,2004,4,103,0
9,5,2004,6,97,100
2,5,2004,4,40,50
5,5,2004,2,27,20
7,5,2004,3,37,85.7142857143
6,5,2004,3,108,100
4,2,2004,11,58,25
6,5,2004,3,57,100
15,5,2004,7,64,100
0,4,2004,4,62,0
6,5,2004,4,74,100
6,5,2004,5,34,100
21,3,2004,5,66,9.52380952381
6,5,2004,2,58,66.6666666667
0,5,2004,3,18,0
14,5,2004,3,139,64.2857142857
6,5,2004,1,122,100
5,5,2004,2,79,80
6,4,2004,5,28,0
3,5,2004,3,70,100
9,5,2004,5,40,100
5,5,2004,6,51,80
6,5,2004,7,81,100
5,5,2004,4,92,100
7,5,2004,2,30,85.7142857143
0,4,2004,3,75,0
25,2,2004,3,21,52
11,5,2004,6,104,100
14,5,2004,5,51,92.8571428571
4,5,2004,9,69,100
12,5,2004,5,190,83.3333333333
5,5,2004,4,398,100
0,5,2004,4,31,0
3,5,2004,2,51,100
20,4,2004,6,68,80
5,1,2004,3,56,100
7,5,2004,6,189,85.7142857143
7,1,2004,4,135,85.7142857143
0,5,2004,7,41,0
3,5,2004,1,19,100
0,5,2004,5,71,0
12,5,2004,3,52,66.6666666667
8,5,2004,7,54,0
0,5,2004,8,137,0
3,5,2004,3,12,100
4,5,2004,9,199,100
2,4,2004,6,120,100
6,5,2004,6,46,66.6666666667
14,5,2004,1,115,92.8571428571
5,4,2004,5,59,80
0,4,2004,6,114,0
0,4,2004,7,78,0
13,5,2004,3,24,100
4,5,2004,5,81,0
3,5,2004,8,17,66.6666666667
6,5,2004,3,98,100
0,4,2004,3,93,0
7,5,2004,3,49,85.7142857143
6,5,2004,3,238,100
13,5,2004,10,346,92.3076923077
6,2,2004,5,107,50
5,5,2004,4,28,80
4,5,2004,2,53,100
6,5,2004,6,39,100
0,1,2004,5,117,0
0,4,2004,1,15,0
0,5,2004,2,57,0
15,4,2004,4,22,33.3333333333
14,5,2004,7,87,100
5,5,2004,6,138,80
9,5,2004,1,11,88.8888888889
28,5,2004,5,197,21.4285714286
6,5,2004,6,239,100
7,5,2004,8,14,71.4285714286
8,5,2004,9,71,100
4,4,2004,6,151,100
0,4,2004,3,167,0
14,5,2004,6,118,85.7142857143
10,5,2004,4,35,100
3,5,2004,2,22,100
15,1,2004,6,62,100
1,4,2004,6,92,100
5,5,2004,7,76,100
7,5,2004,4,122,100
14,2,2004,3,38,100
9,5,2004,3,52,77.7777777778
5,5,2004,4,108,100
8,5,2004,2,143,75
6,5,2004,3,59,100
11,5,2004,6,164,100
1,5,2004,5,209,100
1,5,2004,7,24,100
2,5,2004,6,227,100
33,2,2004,4,120,12.1212121212
3,5,2004,6,71,100
19,5,2004,6,163,100
9,3,2004,6,38,100
2,5,2004,5,33,100
8,5,2004,7,59,100
0,5,2004,1,19,0
0,5,2004,4,37,0
1,5,2004,2,80,100
12,5,2004,3,67,83.3333333333
2,5,2004,3,239,100
2,5,2004,2,76,100
0,5,2004,1,25,0
5,5,2004,3,95,100
2,5,2004,6,40,100
0,5,2004,2,199,0
18,1,2004,1,13,0
65,5,2004,6,355,96.9230769231
0,4,2004,2,44,0
10,5,2004,3,75,100
7,5,2004,6,103,85.7142857143
1,5,2004,7,105,100
28,4,2004,7,187,96.4285714286
5,5,2004,2,75,100
4,5,2004,6,43,75
5,5,2004,9,131,100
12,4,2004,6,184,66.6666666667
18,5,2004,1,77,94.4444444444
2,5,2004,6,33,100
13,2,2004,4,23,30.7692307692
8,5,2004,3,110,100
5,5,2004,4,40,80
4,5,2004,7,196,50
9,5,2004,8,513,100
2,5,2004,4,108,100
3,5,2004,5,29,66.6666666667
15,4,2004,6,993,80
3,4,2004,1,137,100
2,5,2004,2,50,50
8,1,2004,5,45,50
15,5,2004,7,42,33.3333333333
0,5,2004,3,26,0
14,5,2004,6,120,100
17,5,2004,5,231,88.2352941176
8,5,2005,2,86,100
0,4,2005,12,386,0
3,5,2005,3,52,100
9,5,2005,1,68,100
3,5,2005,8,307,33.3333333333
3,5,2005,5,109,100
24,5,2005,5,93,100
6,5,2005,2,65,83.3333333333
0,5,2005,6,83,0
1,5,2005,1,23,100
2,5,2005,3,26,100
0,5,2005,2,46,0
17,5,2005,9,147,100
1,4,2005,3,67,100
10,1,2005,1,60,70
30,5,2005,5,29,96.6666666667
1,5,2005,3,25,100
3,5,2005,3,106,100
18,5,2005,3,56,50
10,3,2005,6,68,60
15,5,2005,7,105,73.3333333333
2,5,2005,4,60,100
15,4,2005,2,94,86.6666666667
0,3,2005,4,41,0
27,5,2005,7,39,92.5925925926
1,5,2005,5,154,100
14,2,2005,4,775,100
1,2,2005,16,218,0
0,5,2005,6,13,0
1,5,2005,13,236,100
20,5,2005,5,100,95
8,5,2005,8,231,87.5
0,5,2005,2,27,0
2,5,2005,5,85,50
30,5,2005,7,32,96.6666666667
2,5,2005,2,42,100
1,5,2005,4,80,100
9,5,2005,2,44,100
47,5,2005,5,184,95.7446808511
0,5,2005,3,16,0
14,2,2005,2,72,64.2857142857
11,5,2005,2,35,100
27,5,2005,6,161,100
2,5,2005,4,16,100
2,5,2005,3,56,100
8,5,2005,5,104,0
37,4,2005,6,70,48.6486486486
0,5,2005,4,62,0
31,5,2005,2,28,90.3225806452
5,4,2005,14,196,60
7,5,2005,4,27,100
17,5,2005,8,90,88.2352941176
13,5,2005,5,27,84.6153846154
2,5,2005,2,31,100
1,5,2005,3,71,100
7,5,2005,2,35,85.7142857143
4,5,2005,5,204,25
0,5,2005,2,26,0
2,5,2005,3,88,100
1,5,2005,4,57,100
7,5,2005,5,74,85.7142857143
18,5,2005,4,138,94.4444444444
13,3,2005,5,96,92.3076923077
2,5,2005,3,48,100
10,1,2005,4,21,0
9,1,2005,6,269,22.2222222222
6,5,2005,6,45,100
20,5,2005,5,123,90
8,5,2005,7,256,100
14,1,2005,4,256,35.7142857143
3,5,2005,2,50,33.3333333333
3,5,2005,1,19,100
1,4,2005,6,73,100
3,4,2005,2,15,100
5,5,2005,8,25,100
6,4,2005,5,27,83.3333333333
0,5,2005,11,252,0
2,5,2005,6,24,100
3,5,2005,2,142,100
2,5,2005,5,108,100
6,5,2005,4,51,100
11,4,2005,4,165,90.9090909091
2,5,2005,5,17,0
11,1,2005,2,87,27.2727272727
7,5,2005,2,31,57.1428571429
1,5,2005,2,22,100
3,5,2005,4,75,100
7,4,2005,5,88,85.7142857143
4,5,2005,2,43,100
6,5,2005,3,86,100
12,1,2005,2,39,0
2,4,2005,11,120,100
7,5,2005,4,215,100
0,5,2005,4,45,0
12,5,2005,2,63,83.3333333333
7,5,2005,4,54,100
4,5,2005,2,120,100
8,5,2005,4,93,100
3,5,2005,6,53,66.6666666667
0,5,2005,3,42,0
23,5,2005,3,237,91.3043478261
4,5,2005,5,10,0
0,5,2005,1,17,0
4,5,2005,6,77,75
4,2,2005,2,84,25
37,5,2005,5,103,100
4,3,2005,5,10,25
6,5,2005,4,32,66.6666666667
9,5,2005,2,97,88.8888888889
5,5,2005,8,71,100
1,4,2005,2,133,100
1,5,2005,1,44,100
12,5,2005,2,66,100
2,5,2005,10,75,100
4,5,2005,3,39,100
0,5,2005,6,57,0
0,5,2005,18,55,0
7,5,2005,3,24,28.5714285714
6,5,2005,9,72,83.3333333333
43,5,2005,6,284,88.3720930233
8,5,2005,4,40,100
24,5,2005,1,45,50
4,3,2005,5,50,50
7,5,2005,3,90,100
4,3,2005,8,115,100
5,5,2005,3,123,60
4,5,2005,2,43,100
4,3,2005,6,44,100
2,4,2005,3,51,100
6,3,2005,3,53,66.6666666667
5,5,2005,2,68,80
2,5,2005,4,83,100
3,5,2005,6,34,100
6,3,2005,10,86,100
1,5,2005,4,74,0
0,5,2005,1,43,0
3,4,2005,5,61,100
6,1,2005,7,18,50
7,5,2005,5,65,85.7142857143
15,5,2005,3,27,100
6,4,2005,2,95,100
14,5,2005,1,82,100
1,5,2005,6,85,100
2,5,2005,7,206,100
11,5,2005,2,124,100
22,3,2005,6,20,9.09090909091
6,5,2005,3,26,50
27,4,2005,5,97,96.2962962963
12,1,2005,3,60,33.3333333333
0,4,2005,3,55,0
37,5,2005,3,212,94.5945945946
11,3,2005,4,40,72.7272727273
24,4,2005,7,205,100
2,5,2005,1,55,100
1,5,2005,8,46,100
20,5,2005,6,31,85
2,5,2005,5,40,100
0,5,2005,9,59,0
0,5,2005,3,45,0
3,5,2005,7,436,100
8,5,2005,2,98,100
2,5,2005,14,196,100
0,5,2005,4,126,0
6,5,2005,1,21,100
4,5,2005,4,95,100
1,5,2005,6,49,100
1,5,2005,3,80,100
11,4,2005,2,114,100
2,5,2005,3,18,100
4,5,2005,3,88,75
1,5,2005,9,82,100
1,5,2005,7,95,100
0,4,2005,2,85,0
3,5,2005,4,33,66.6666666667
1,5,2005,6,24,100
0,5,2005,2,52,0
25,5,2005,3,298,96
1,4,2005,3,292,100
2,4,2005,1,27,100
0,5,2005,3,54,0
26,1,2005,4,130,80.7692307692
4,1,2005,5,78,100
2,5,2005,4,97,100
6,4,2005,4,57,83.3333333333
0,5,2005,7,294,0
0,5,2005,5,581,0
2,5,2005,2,48,100
1,5,2005,5,163,100
15,5,2005,4,965,100
10,5,2005,4,74,90
2,5,2005,5,476,100
20,5,2005,3,52,90
6,2,2005,4,18,100
1,5,2005,11,142,0
5,5,2005,3,15,80
14,4,2005,4,451,71.4285714286
0,5,2005,3,22,0
4,5,2005,9,152,50
4,5,2005,3,373,50
4,5,2005,2,65,100
10,5,2005,4,254,100
3,4,2005,2,32,100
14,5,2005,2,30,100
0,5,2005,7,34,0
4,5,2005,8,48,75
2,5,2005,7,189,50
0,3,2005,1,43,0
15,5,2005,1,15,66.6666666667
3,4,2005,4,88,33.3333333333
8,5,2005,3,45,62.5
2,5,2005,3,42,100
0,5,2005,6,46,0
3,4,2005,6,60,66.6666666667
2,5,2005,3,107,100
14,3,2005,7,23,28.5714285714
0,5,2005,4,63,0
3,5,2005,1,68,100
3,5,2005,2,50,100
3,5,2005,4,60,100
4,5,2005,3,63,100
4,1,2005,3,39,0
5,5,2005,2,37,60
4,5,2005,2,70,75
3,5,2005,1,424,100
1,5,2005,4,50,0
12,5,2005,1,54,91.6666666667
11,5,2005,1,25,72.7272727273
3,1,2005,1,15,66.6666666667
2,5,2005,10,517,100
1,5,2005,3,54,100
2,4,2005,3,20,100
8,5,2005,3,33,87.5
23,5,2005,5,95,13.0434782609
1,3,2005,3,37,100
3,5,2005,4,53,66.6666666667
32,5,2005,11,42,78.125
1,5,2005,2,42,100
20,5,2005,3,32,90
3,5,2005,4,122,66.6666666667
2,5,2005,1,53,100
18,5,2005,3,560,94.4444444444
0,5,2005,3,69,0
41,2,2005,6,22,80.487804878
2,4,2005,6,113,100
0,5,2005,2,64,0
12,4,2005,1,42,41.6666666667
0,5,2005,5,54,0
2,3,2005,2,36,100
12,5,2005,3,35,100
5,5,2005,3,20,100
14,1,2005,4,97,7.14285714286
0,5,2005,3,19,0
6,5,2005,6,66,100
30,4,2005,4,114,93.3333333333
2,4,2005,10,164,100
12,5,2005,4,33,58.3333333333
2,4,2005,3,79,100
1,4,2005,9,62,100
3,1,2005,5,205,100
12,5,2005,2,205,100
5,5,2005,1,45,100
1,3,2005,7,383,0
3,5,2005,2,83,100
13,2,2005,4,164,53.8461538462
17,2,2005,3,53,52.9411764706
2,5,2005,2,26,50
13,2,2005,4,149,84.6153846154
1,5,2005,3,59,100
3,5,2005,7,84,100
10,5,2005,9,136,100
7,5,2005,4,71,100
8,5,2005,3,141,87.5
13,5,2005,3,87,92.3076923077
3,5,2005,2,131,66.6666666667
15,5,2005,7,60,80
3,5,2005,8,176,100
1,5,2005,5,142,100
0,5,2005,3,24,0
2,5,2005,8,90,100
8,5,2005,4,134,100
0,5,2005,4,89,0
0,5,2005,2,17,0
1,5,2005,1,58,100
12,5,2005,4,139,100
36,5,2005,4,108,100
8,5,2005,2,40,25
3,5,2005,1,26,100
89,5,2005,4,69,96.6292134831
6,5,2005,6,22,0
0,5,2005,2,43,0
8,4,2005,3,21,100
0,5,2005,2,111,0
2,5,2005,12,420,50
3,5,2005,6,19,100
0,5,2005,2,62,0
0,3,2005,6,63,0
0,5,2005,1,283,0
7,5,2005,5,32,28.5714285714
6,2,2005,5,31,0
6,5,2005,4,142,100
4,5,2005,3,45,100
2,5,2005,3,29,50
9,5,2005,5,125,100
1,5,2005,2,59,100
0,4,2005,1,62,0
2,5,2005,8,17,50
2,4,2005,4,25,0
1,5,2005,7,46,100
1,5,2005,9,119,100
4,4,2005,2,26,50
8,5,2005,9,284,100
1,4,2005,1,47,100
6,4,2005,2,47,100
2,5,2005,10,254,100
4,5,2005,4,91,100
32,5,2005,13,96,84.375
7,5,2005,6,11,28.5714285714
2,5,2005,5,29,50
7,5,2005,8,139,100
11,5,2005,3,118,27.2727272727
12,5,2005,1,362,83.3333333333
10,3,2005,2,45,70
11,4,2005,1,14,18.1818181818
30,5,2005,6,202,96.6666666667
10,1,2005,2,33,40
21,1,2005,4,51,47.619047619
1,5,2005,3,15,100
0,4,2005,2,51,0
2,1,2005,6,47,50
1,5,2005,1,93,100
1,5,2005,3,55,100
5,5,2005,11,387,100
1,5,2005,2,16,100
4,5,2005,5,257,75
0,5,2005,11,186,0
1,5,2005,3,21,100
4,5,2005,2,148,100
8,5,2005,7,136,87.5
8,5,2005,7,101,87.5
6,5,2005,4,40,100
2,5,2005,7,114,100
27,5,2005,13,111,81.4814814815
2,5,2005,6,87,100
1,1,2005,4,117,100
10,4,2005,3,58,100
13,5,2005,5,52,100
6,5,2005,3,89,100
3,5,2005,2,28,100
22,5,2005,10,286,95.4545454545
0,3,2005,10,41,0
26,5,2005,5,73,88.4615384615
1,5,2005,2,22,100
0,5,2005,3,134,0
0,4,2005,6,75,0
11,5,2005,1,27,90.9090909091
3,5,2005,4,25,100
18,5,2005,10,310,94.4444444444
1,5,2005,6,43,100
15,5,2005,3,63,100
5,5,2005,4,58,100
2,5,2005,2,45,100
5,5,2005,2,277,40
2,5,2005,10,49,100
3,5,2005,4,48,100
1,5,2005,2,97,100
2,5,2005,3,81,100
8,5,2005,6,165,50
7,5,2005,7,103,100
2,5,2005,4,11,50
10,5,2005,5,215,80
2,5,2005,4,41,100
0,3,2005,3,148,0
19,5,2005,8,42,0
18,5,2005,6,75,100
0,5,2005,1,33,0
3,4,2005,2,43,66.6666666667
1,5,2005,2,16,100
7,5,2005,9,54,100
0,5,2005,4,114,0
16,5,2005,5,134,100
9,5,2005,3,46,77.7777777778
1,5,2005,9,30,100
